country,aircraft,fighter/interceptor,attack_aircraft,transport_aircraft_fleet,trainer_aircraft_fleet,helicopter_fleet,attack_helicopter_fleet,tank,afv/apc,self-propelled_artillery,towed_artillery,rocket_projector,navy_fleets,aircraft_carrier_fleet,submarine_fleet,destroyer_fleet,frigate_fleet,airport_totals,available_manpower,total_population,iso,continent
Tanzania,34,14,0,6,8,6,0,156,70,0,12,0,19,0,0,0,0,166,10258498,55451343,TZA,Africa
Thailand,570,75,19,48,154,307,7,841,1416,20,776,25,292,1,0,0,7,101,35543014,68615858,THA,Asia
Tunisia,147,12,0,14,29,92,0,181,878,20,165,0,50,0,0,0,0,29,5850224,11516189,TUN,Africa
Turkey,1055,206,0,80,276,497,100,2622,8777,1278,1260,438,149,0,12,0,16,98,41847478,81257239,TUR,Asia
Turkmenistan,72,24,20,3,0,25,10,712,2000,68,269,116,4,0,0,0,0,26,2797493,5411012,TKM,Asia
Uganda,48,10,0,2,10,26,5,371,1081,6,53,26,8,0,0,0,0,47,14707350,40853749,UGA,Africa
Ukraine,297,48,25,32,76,121,34,2026,10135,738,2040,430,25,0,0,0,1,187,22195911,43952299,UKR,Europe
United Arab Emirates,538,98,20,40,145,229,30,434,8691,183,76,72,75,0,0,0,0,43,5820789,9701315,ARE,Asia
United Kingdom,733,133,15,44,241,312,49,227,5000,89,126,35,88,2,10,6,13,460,29948413,65105246,GBR,Europe
United States,13264,2085,715,945,2643,5768,967,6289,39253,1465,2740,1366,490,20,66,91,0,13513,144872845,329256465,USA,North America
Uruguay,50,0,7,9,16,13,0,78,463,0,0,4,20,0,0,0,1,133,1549878,3369299,URY,South America
Venezuela,260,38,0,52,82,86,10,390,600,73,104,36,49,0,2,0,4,444,14260129,31689176,VEN,South America
Vietnam,293,77,0,38,36,138,25,2615,2530,70,1000,85,65,0,6,0,9,45,51043216,97040334,VNM,Asia
Yemen,169,77,0,8,21,61,14,620,615,20,85,150,30,0,0,0,0,57,11266221,28667230,YEM,Asia
Zambia,108,18,0,11,52,27,0,75,184,0,42,50,0,0,0,0,0,88,6166905,16445079,ZMB,Africa
Zimbabwe,90,10,0,14,38,28,6,42,300,0,65,22,0,0,0,0,0,196,5584086,14030368,ZWE,Africa
